EXOME_ID	VABC_ID	Infinium_ID	Species	Subspecies	Seed Bank	AccessionID	OtherIDs	Accession Name	Ancestory	Lattitude	Longitude	Elevation	Collection Date	Remarks	Category	History	Released	Country of Origin	State/region	Collection Site	Habitat
ExomeCapture-DAS5-000160	DAS5-000160	WSNP92K.013.01167	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30282/annuello*95	Aus30282 = DOY1/AE.SQUARROSA (334)	Aus30282/annuello*95	Aus30282/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000166	DAS5-000166	WSNP92K.015.01401	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30290/annuello*36	Aus30290 = ALTAR 84/AE.SQUARROSA (502)	Aus30290/annuello*36	Aus30290/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000174	DAS5-000174	WSNP92K.013.01181	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30292/annuello*26	Aus30292 = DOY1/AE.SQUARROSA (516)	Aus30292/annuello*26	Aus30292/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000178	DAS5-000178	WSNP92K.015.01402	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30292/annuello*84	Aus30292 = DOY1/AE.SQUARROSA (516)	Aus30292/annuello*84	Aus30292/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000183	DAS5-000183	WSNP92K.011.01007	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30293/annuello*13	Aus30293 = CETA/AE.SQUARROSA (525)	Aus30293/annuello*13	Aus30293/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000186	DAS5-000186	WSNP92K.008.00756	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30293/annuello*37	Aus30293 = CETA/AE.SQUARROSA (525)	Aus30293/annuello*37	Aus30293/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000188	DAS5-000188	WSNP92K.014.01318	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30293/annuello*40	Aus30293 = CETA/AE.SQUARROSA (525)	Aus30293/annuello*40	Aus30293/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000191	DAS5-000191	WSNP92K.009.00830	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30296/annuello*1	Aus30296 = DOY1/AE.SQUARROSA (1016)	Aus30296/annuello*1	Aus30296/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000192	DAS5-000192	WSNP92K.008.00731	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30296/annuello*13	Aus30296 = DOY1/AE.SQUARROSA (1016)	Aus30296/annuello*13	Aus30296/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000194	DAS5-000194	WSNP92K.006.00505	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30296/annuello*2	Aus30296 = DOY1/AE.SQUARROSA (1016)	Aus30296/annuello*2	Aus30296/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000202	DAS5-000202	WSNP92K.012.01080	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30297/annuello*2	Aus30297 = DOY1/AE.SQUARROSA (1024)	Aus30297/annuello*2	Aus30297/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000205	DAS5-000205	WSNP92K.015.01434	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30297/annuello*36	Aus30297 = DOY1/AE.SQUARROSA (1024)	Aus30297/annuello*36	Aus30297/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000210	DAS5-000210	WSNP92K.013.01193	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30297/annuello*47	Aus30297 = DOY1/AE.SQUARROSA (1024)	Aus30297/annuello*47	Aus30297/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000215	DAS5-000215	WSNP92K.010.00876	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30300/annuello*31	Aus30300 = DOY1/AE.SQUARROSA (1027)	Aus30300/annuello*31	Aus30300/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000221	DAS5-000221	WSNP92K.015.01360	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30301/annuello*10	Aus30301 = CETA/AE.SQUARROSA (1027)	Aus30301/annuello*10	Aus30301/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000222	DAS5-000222	WSNP92K.010.00950	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30301/annuello*12	Aus30301 = CETA/AE.SQUARROSA (1027)	Aus30301/annuello*12	Aus30301/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000225	DAS5-000225	WSNP92K.010.00960	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30301/annuello*20	Aus30301 = CETA/AE.SQUARROSA (1027)	Aus30301/annuello*20	Aus30301/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000232	DAS5-000232	WSNP92K.013.01160	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30302/annuello*17	Aus30302 = CETA/AE.SQUARROSA (1030)	Aus30302/annuello*17	Aus30302/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000237	DAS5-000237	WSNP92K.014.01279	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30302/annuello*29	Aus30302 = CETA/AE.SQUARROSA (1030)	Aus30302/annuello*29	Aus30302/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000244	DAS5-000244	WSNP92K.008.00706	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30635/yitpi*19	Aus30635 = GAE.SQUARROSA (408)	Aus30635/yitpi*19	Aus30635/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000250	DAS5-000250	WSNP92K.006.00498	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30635/yitpi*7	Aus30635 = GAE.SQUARROSA (408)	Aus30635/yitpi*7	Aus30635/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000260	DAS5-000260	WSNP92K.010.00959	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30638/yitpi*47	Aus30638 = YAV_2/TEZ//AE.SQUARROSA (457)	Aus30638/yitpi*47	Aus30638/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000263	DAS5-000263	WSNP92K.010.00937	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30656/yitpi*28	Aus30656 = LCK59.61/AE.SQUARROSA (783)	Aus30656/yitpi*28	Aus30656/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000264	DAS5-000264	WSNP92K.013.01173	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30656/yitpi*33	Aus30656 = LCK59.61/AE.SQUARROSA (783)	Aus30656/yitpi*33	Aus30656/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000265	DAS5-000265	WSNP92K.014.01268	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30656/yitpi*38	Aus30656 = LCK59.61/AE.SQUARROSA (783)	Aus30656/yitpi*38	Aus30656/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000278	DAS5-000278	WSNP92K.014.01262	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33377/yitpi*31	Aus33377 = CROC_1/AE.SQUARROSA (333)	Aus33377/yitpi*31	Aus33377/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000280	DAS5-000280	WSNP92K.013.01206	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33377/yitpi*46	Aus33377 = CROC_1/AE.SQUARROSA (333)	Aus33377/yitpi*46	Aus33377/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000288	DAS5-000288	WSNP92K.013.01216	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33381/yitpi*50	Aus33381 = RASCOE.SQUARROSA (367)	Aus33381/yitpi*50	Aus33381/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000291	DAS5-000291	WSNP92K.010.00906	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33384/yitpi*1	Aus33384 = GARZA/BOY//AE.SQUARROSA (427)	Aus33384/yitpi*1	Aus33384/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000295	DAS5-000295	WSNP92K.015.01370	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33384/yitpi*45	Aus33384 = GARZA/BOY//AE.SQUARROSA (427)	Aus33384/yitpi*45	Aus33384/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000296	DAS5-000296	WSNP92K.006.00550	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33384/yitpi*46	Aus33384 = GARZA/BOY//AE.SQUARROSA (427)	Aus33384/yitpi*46	Aus33384/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000297	DAS5-000297	WSNP92K.005.00392	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33384/yitpi*49	Aus33384 = GARZA/BOY//AE.SQUARROSA (427)	Aus33384/yitpi*49	Aus33384/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000298	DAS5-000298	WSNP92K.008.00708	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33384/yitpi*50	Aus33384 = GARZA/BOY//AE.SQUARROSA (427)	Aus33384/yitpi*50	Aus33384/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000299	DAS5-000299	WSNP92K.013.01163	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33384/yitpi*6	Aus33384 = GARZA/BOY//AE.SQUARROSA (427)	Aus33384/yitpi*6	Aus33384/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000301	DAS5-000301	WSNP92K.010.00869	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33392/yitpi*12	Aus33392 = CROC_1/AE.SQUARROSA (507)	Aus33392/yitpi*12	Aus33392/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000305	DAS5-000305	WSNP92K.115.10746	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33392/yitpi*39	Aus33392 = CROC_1/AE.SQUARROSA (507)	Aus33392/yitpi*39	Aus33392/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000310	DAS5-000310	WSNP92K.008.00695	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33392/yitpi*9	Aus33392 = CROC_1/AE.SQUARROSA (507)	Aus33392/yitpi*9	Aus33392/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000311	DAS5-000311	WSNP92K.013.01194	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33405/yitpi*15	Aus33405 = GAE.SQUARROSA (285)	Aus33405/yitpi*15	Aus33405/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000316	DAS5-000316	WSNP92K.015.01412	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33405/yitpi*34	Aus33405 = GAE.SQUARROSA (285)	Aus33405/yitpi*34	Aus33405/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000317	DAS5-000317	WSNP92K.118.11035	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33405/yitpi*44	Aus33405 = GAE.SQUARROSA (285)	Aus33405/yitpi*44	Aus33405/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000318	DAS5-000318	WSNP92K.005.00474	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33405/yitpi*49	Aus33405 = GAE.SQUARROSA (285)	Aus33405/yitpi*49	Aus33405/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000321	DAS5-000321	WSNP92K.012.01075	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33408/yitpi*14	Aus33408 = DOY1/AE.SQUARROSA (322)	Aus33408/yitpi*14	Aus33408/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000330	DAS5-000330	WSNP92K.008.00741	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33408/yitpi*8	Aus33408 = DOY1/AE.SQUARROSA (322)	Aus33408/yitpi*8	Aus33408/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000336	DAS5-000336	WSNP92K.009.00811	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	33410/yitpi*4	Aus33410 = DOY1/AE.SQUARROSA (372)	Aus33410/yitpi*4	Aus33410/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
